songs,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
(She's) Sexy + 17,Stray Cats,0.525,0.931,9,-5.593,1,0.0583,0.00831,0,0.106,0.75,89.9,audio_features,5x5FUXjs53WbPuTwT6WD8d,spotify:track:5x5FUXjs53WbPuTwT6WD8d,https://api.spotify.com/v1/tracks/5x5FUXjs53WbPuTwT6WD8d,https://api.spotify.com/v1/audio-analysis/5x5FUXjs53WbPuTwT6WD8d,194067,4
Thank God And Greyhound,Roy Clark,0.464,0.359,10,-12.938,1,0.029,0.563,0,0.0814,0.603,88.221,audio_features,17d5xOklXOZ0dCGsqbr6Z7,spotify:track:17d5xOklXOZ0dCGsqbr6Z7,https://api.spotify.com/v1/tracks/17d5xOklXOZ0dCGsqbr6Z7,https://api.spotify.com/v1/audio-analysis/17d5xOklXOZ0dCGsqbr6Z7,155760,3
Last Date,Floyd Cramer,0.296,0.287,0,-13.01,1,0.0345,0.701,0.00121,0.153,0.716,205.4,audio_features,6KB3UH8BVVQqbe24eBfJZn,spotify:track:6KB3UH8BVVQqbe24eBfJZn,https://api.spotify.com/v1/tracks/6KB3UH8BVVQqbe24eBfJZn,https://api.spotify.com/v1/audio-analysis/6KB3UH8BVVQqbe24eBfJZn,146933,3
Almost Saturday Night,John Fogerty,0.61,0.687,2,-11.701,1,0.0423,0.246,2.51e-05,0.282,0.737,128.839,audio_features,0NZqcQO0ZIp87vWW1dmsCA,spotify:track:0NZqcQO0ZIp87vWW1dmsCA,https://api.spotify.com/v1/tracks/0NZqcQO0ZIp87vWW1dmsCA,https://api.spotify.com/v1/audio-analysis/0NZqcQO0ZIp87vWW1dmsCA,134067,4
Don't Let Go,Wang Chung,0.618,0.688,5,-5.867,0,0.0477,0.409,6.32e-06,0.3,0.561,78.311,audio_features,06TuMCjDEYjTOJScCRzmjf,spotify:track:06TuMCjDEYjTOJScCRzmjf,https://api.spotify.com/v1/tracks/06TuMCjDEYjTOJScCRzmjf,https://api.spotify.com/v1/audio-analysis/06TuMCjDEYjTOJScCRzmjf,291880,4
I'm A Man,The Yardbirds,0.557,0.859,9,-8.842,1,0.0662,0.159,0,0.117,0.678,128.641,audio_features,1oXq63OUf43LDnNPVtfvX8,spotify:track:1oXq63OUf43LDnNPVtfvX8,https://api.spotify.com/v1/tracks/1oXq63OUf43LDnNPVtfvX8,https://api.spotify.com/v1/audio-analysis/1oXq63OUf43LDnNPVtfvX8,171827,4
Spy In The House Of Love,Was (Not Was),0.742,0.724,5,-12.378,1,0.0291,0.173,4.97e-05,0.128,0.96,117.947,audio_features,4Yx1nJOOSkhy3WDiEh98YY,spotify:track:4Yx1nJOOSkhy3WDiEh98YY,https://api.spotify.com/v1/tracks/4Yx1nJOOSkhy3WDiEh98YY,https://api.spotify.com/v1/audio-analysis/4Yx1nJOOSkhy3WDiEh98YY,256800,4
Mamma Mia,ABBA,0.749,0.748,2,-7.011,1,0.0323,0.295,0.000443,0.469,0.827,137.547,audio_features,2TxCwUlqaOH3TIyJqGgR91,spotify:track:2TxCwUlqaOH3TIyJqGgR91,https://api.spotify.com/v1/tracks/2TxCwUlqaOH3TIyJqGgR91,https://api.spotify.com/v1/audio-analysis/2TxCwUlqaOH3TIyJqGgR91,213267,4
Feelin' Stronger Every Day,Chicago,0.375,0.878,0,-6.099,1,0.0649,0.00946,0.0091,0.279,0.667,159.833,audio_features,3hfqqSWS52Vucr4S0mLqUN,spotify:track:3hfqqSWS52Vucr4S0mLqUN,https://api.spotify.com/v1/tracks/3hfqqSWS52Vucr4S0mLqUN,https://api.spotify.com/v1/audio-analysis/3hfqqSWS52Vucr4S0mLqUN,254933,4
Is It Wrong (For Loving You),Webb Pierce,0.659,0.414,8,-10.84,1,0.029,0.843,0.235,0.105,0.852,94.223,audio_features,5LmZia9AJSxryhQBMtAIR5,spotify:track:5LmZia9AJSxryhQBMtAIR5,https://api.spotify.com/v1/tracks/5LmZia9AJSxryhQBMtAIR5,https://api.spotify.com/v1/audio-analysis/5LmZia9AJSxryhQBMtAIR5,156920,4
